lat,lon,operational_risk_score,grid_kind
18.5,-66.0,11.764,idw_visual
18.5,-65.945,12.063,idw_visual
18.5,-65.89,12.367,idw_visual
18.5,-65.835,12.65,idw_visual
18.5,-65.78,12.902,idw_visual
18.5,-65.725,13.121,idw_visual
18.5,-65.67,13.311,idw_visual
18.5,-65.615,13.476,idw_visual
18.5,-65.56,13.619,idw_visual
18.5,-65.505,13.743,idw_visual
18.5,-65.45,13.852,idw_visual
18.5,-65.395,13.949,idw_visual
18.5,-65.34,14.035,idw_visual
18.555,-66.99,15.999,idw_visual
18.555,-66.935,16.247,idw_visual
18.555,-66.88,16.488,idw_visual
18.555,-66.825,16.679,idw_visual
18.555,-66.77,16.778,idw_visual
18.555,-66.715,16.755,idw_visual
18.555,-66.66,16.598,idw_visual
18.555,-66.605,16.315,idw_visual
18.555,-66.55,15.921,idw_visual
18.555,-66.495,15.435,idw_visual
18.555,-66.44,14.87,idw_visual
18.555,-66.385,14.234,idw_visual
18.555,-66.33,13.549,idw_visual
18.555,-66.275,12.864,idw_visual
18.555,-66.22,12.269,idw_visual
18.555,-66.165,11.863,idw_visual
18.555,-66.11,11.694,idw_visual
18.555,-66.055,11.739,idw_visual
18.555,-66.0,11.924,idw_visual
18.555,-65.945,12.177,idw_visual
18.555,-65.89,12.447,idw_visual
18.555,-65.835,12.705,idw_visual
18.555,-65.78,12.94,idw_visual
18.555,-65.725,13.148,idw_visual
18.555,-65.67,13.331,idw_visual
18.555,-65.615,13.49,idw_visual
18.555,-65.56,13.63,idw_visual
18.555,-65.505,13.752,idw_visual
